team_fbref,team_clubelo
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton & Hove Albion,Brighton
Burnley,Burnley
Cardiff City,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Huddersfield Town,Huddersfield
Leeds United,Leeds
Leicester City,Leicester
Liverpool,Liverpool
Manchester City,Man City
Manchester United,Man United
Newcastle United,Newcastle
Norwich City,Norwich
Sheffield United,Sheffield United
Southampton,Southampton
Stoke City,Stoke
Swansea City,Swansea
Tottenham Hotspur,Tottenham
Watford,Watford
West Bromwich Albion,West Brom
West Ham United,West Ham
Wolverhampton Wanderers,Wolves
